Epoch,BLEU,BLEU-1,BLEU-2,BLEU-3,BLEU-4
1,45.18010018049227,100.0,87.5,28.571428571428573,16.666666666666668
2,52.16948600244291,91.66666666666667,72.72727272727273,50.0,22.22222222222222
3,56.91002880122694,100.0,76.92307692307692,50.0,27.272727272727273
4,88.5700028538295,100.0,93.33333333333333,85.71428571428571,76.92307692307692
5,96.48571584702385,100.0,100.0,100.0,86.66666666666667
6,78.27999171629116,100.0,82.6086956521739,68.18181818181819,66.66666666666667
7,90.03477491896982,100.0,87.5,82.6086956521739,90.9090909090909
8,92.64961280431518,100.0,94.73684210526316,94.44444444444444,82.3529411764706
9,97.25766308764152,100.0,94.73684210526316,94.44444444444444,100.0
10,97.1734207711945,100.0,94.73684210526316,100.0,94.11764705882354
11,97.1734207711945,100.0,94.73684210526316,100.0,94.11764705882354
12,87.51061590256269,95.23809523809524,90.0,94.73684210526316,72.22222222222223
13,84.55987220158342,95.23809523809524,90.0,89.47368421052632,66.66666666666667
14,70.94521095075528,88.46153846153847,76.0,66.66666666666667,56.52173913043478
15,70.94521095075528,88.46153846153847,76.0,66.66666666666667,56.52173913043478
16,90.808651852317,100.0,96.0,95.83333333333333,73.91304347826087
17,76.91605673134588,92.85714285714286,77.77777777777777,80.76923076923077,60.0
18,74.5626883328766,95.45454545454545,90.47619047619048,85.0,42.10526315789474
19,55.930653788529156,74.19354838709677,70.0,58.62068965517241,32.142857142857146
20,51.3002475244776,78.57142857142857,62.96296296296296,50.0,28.0
21,74.58497695130174,96.55172413793103,89.28571428571429,77.77777777777777,46.15384615384615
22,62.26746370258857,85.71428571428571,70.37037037037037,69.23076923076923,36.0
23,60.07227992505855,93.33333333333333,79.3103448275862,67.85714285714286,25.925925925925927
24,50.12902076622967,72.72727272727273,59.375,54.83870967741935,26.666666666666668
25,74.96194036834186,92.5925925925926,76.92307692307692,76.0,58.333333333333336
26,44.41078199867739,77.41935483870968,56.666666666666664,41.37931034482759,21.428571428571427
27,46.90103117544749,81.81818181818181,68.75,51.61290322580645,16.666666666666668
28,42.19600081730596,75.0,61.29032258064516,50.0,13.793103448275861
29,60.08896517160002,96.29629629629629,84.61538461538461,64.0,25.0
30,58.44764496135266,87.87878787878788,81.25,61.29032258064516,26.666666666666668
31,49.31351656616198,86.66666666666667,75.86206896551724,60.714285714285715,14.814814814814815
32,56.15185278063283,93.75,83.87096774193549,73.33333333333333,17.24137931034483
33,49.072586652350736,90.3225806451613,76.66666666666667,58.62068965517241,14.285714285714286
34,68.54339034638139,87.87878787878788,78.125,74.19354838709677,43.333333333333336
35,56.30680580833321,84.375,67.74193548387096,56.666666666666664,31.03448275862069
36,65.05288266730939,93.75,90.3225806451613,76.66666666666667,27.586206896551722
37,49.53515593229917,89.65517241379311,78.57142857142857,55.55555555555556,15.384615384615385
